+----+-------------+--------------------+-----------------+
|    |   0_F1(%)>= | 1_bert_lc_sslal_   | 2_bert_lc_al_   |
|----+-------------+--------------------+-----------------|
|  0 |          60 | 125                | 128             |
|  1 |          61 | 125                | 128             |
|  2 |          62 | 125                | 128             |
|  3 |          63 | 125                | 128             |
|  4 |          64 | 125                | 128             |
|  5 |          65 | 125                | 128             |
|  6 |          66 | 192                | 128             |
|  7 |          67 | 192                | 128             |
|  8 |          68 | 192                | 192             |
|  9 |          69 | 192                | 192             |
| 10 |          70 | 192                | 192             |
| 11 |          71 | 192                | 192             |
| 12 |          72 | 243                | 320             |
| 13 |          73 | 243                | 320             |
| 14 |          74 | 243                | 320             |
| 15 |          75 | 243                | 320             |
| 16 |          76 | 333                | 320             |
| 17 |          77 | 333                | 384             |
| 18 |          78 | 333                | 384             |
| 19 |          79 | 448                | 384             |
| 20 |          80 | 448                | 384             |
| 21 |          81 | 448                | 384             |
| 22 |          82 | 448                | 384             |
| 23 |          83 | 448                | 384             |
| 24 |          84 | 448                | 384             |
| 25 |          85 | 576                | 704             |
| 26 |          86 | -                  | 704             |
| 27 |          87 | -                  | 704             |
| 28 |          88 | -                  | -               |
| 29 |          89 | -                  | -               |
| 30 |          90 | -                  | -               |
| 31 |          91 | -                  | -               |
| 32 |          92 | -                  | -               |
| 33 |          93 | -                  | -               |
| 34 |          94 | -                  | -               |
| 35 |          95 | -                  | -               |
| 36 |          96 | -                  | -               |
| 37 |          97 | -                  | -               |
| 38 |          98 | -                  | -               |
| 39 |          99 | -                  | -               |
+----+-------------+--------------------+-----------------+
