+----+-------------+--------------------+------------------------------+------------------+-------------------+-----------------+---------------------------+---------------+----------------+
|    |   0_F1(%)>= | 1_bert_lc_sslal_   | 1_nb-multinomial_lc_sslal_   | 1_rf_lc_sslal_   | 1_svm_lc_sslal_   | 2_bert_lc_al_   | 2_nb-multinomial_lc_al_   | 2_rf_lc_al_   | 2_svm_lc_al_   |
|----+-------------+--------------------+------------------------------+------------------+-------------------+-----------------+---------------------------+---------------+----------------|
|  0 |          60 | 125                | 64                           | 64               | 64                | 128             | 64                        | 64            | 64             |
|  1 |          61 | 125                | 64                           | 64               | 64                | 128             | 64                        | 64            | 64             |
|  2 |          62 | 125                | 116                          | 64               | 64                | 128             | 128                       | 64            | 64             |
|  3 |          63 | 125                | 116                          | 64               | 64                | 128             | 128                       | 64            | 64             |
|  4 |          64 | 125                | 116                          | 64               | 64                | 128             | 128                       | 64            | 64             |
|  5 |          65 | 125                | 116                          | 64               | 64                | 128             | 128                       | 64            | 64             |
|  6 |          66 | 192                | 116                          | 64               | 64                | 128             | 128                       | 64            | 64             |
|  7 |          67 | 192                | 116                          | 64               | 64                | 128             | 128                       | 64            | 64             |
|  8 |          68 | 192                | 116                          | 64               | 64                | 192             | 192                       | 64            | 64             |
|  9 |          69 | 192                | 192                          | 64               | 64                | 192             | 192                       | 64            | 64             |
| 10 |          70 | 192                | 192                          | 64               | 64                | 192             | 192                       | 64            | 64             |
| 11 |          71 | 192                | 192                          | 64               | 64                | 192             | 192                       | 64            | 64             |
| 12 |          72 | 243                | 192                          | 64               | 118               | 320             | 192                       | 64            | 128            |
| 13 |          73 | 243                | 192                          | 64               | 118               | 320             | 256                       | 64            | 128            |
| 14 |          74 | 243                | 320                          | 116              | 118               | 320             | 256                       | 192           | 128            |
| 15 |          75 | 243                | -                            | 192              | 192               | 320             | 320                       | 192           | 128            |
| 16 |          76 | 333                | -                            | 192              | 192               | 320             | 320                       | 256           | 192            |
| 17 |          77 | 333                | -                            | 320              | 192               | 384             | 448                       | 256           | 192            |
| 18 |          78 | 333                | -                            | 320              | 232               | 384             | 512                       | 320           | 192            |
| 19 |          79 | 448                | -                            | 320              | 232               | 384             | -                         | 384           | 192            |
| 20 |          80 | 448                | -                            | 448              | 320               | 384             | -                         | 576           | 320            |
| 21 |          81 | 448                | -                            | 576              | 333               | 384             | -                         | 640           | 320            |
| 22 |          82 | 448                | -                            | 832              | 448               | 384             | -                         | -             | 320            |
| 23 |          83 | 448                | -                            | -                | 448               | 384             | -                         | -             | 320            |
| 24 |          84 | 448                | -                            | -                | 576               | 384             | -                         | -             | 384            |
| 25 |          85 | 576                | -                            | -                | -                 | 704             | -                         | -             | 640            |
| 26 |          86 | -                  | -                            | -                | -                 | 704             | -                         | -             | -              |
| 27 |          87 | -                  | -                            | -                | -                 | 704             | -                         | -             | -              |
| 28 |          88 | -                  | -                            | -                | -                 | -               | -                         | -             | -              |
| 29 |          89 | -                  | -                            | -                | -                 | -               | -                         | -             | -              |
| 30 |          90 | -                  | -                            | -                | -                 | -               | -                         | -             | -              |
| 31 |          91 | -                  | -                            | -                | -                 | -               | -                         | -             | -              |
| 32 |          92 | -                  | -                            | -                | -                 | -               | -                         | -             | -              |
| 33 |          93 | -                  | -                            | -                | -                 | -               | -                         | -             | -              |
| 34 |          94 | -                  | -                            | -                | -                 | -               | -                         | -             | -              |
| 35 |          95 | -                  | -                            | -                | -                 | -               | -                         | -             | -              |
| 36 |          96 | -                  | -                            | -                | -                 | -               | -                         | -             | -              |
| 37 |          97 | -                  | -                            | -                | -                 | -               | -                         | -             | -              |
| 38 |          98 | -                  | -                            | -                | -                 | -               | -                         | -             | -              |
| 39 |          99 | -                  | -                            | -                | -                 | -               | -                         | -             | -              |
+----+-------------+--------------------+------------------------------+------------------+-------------------+-----------------+---------------------------+---------------+----------------+
