+----+-------------+--------------------+-----------------+
|    |   0_F1(%)>= | 1_bert_lc_sslal_   | 2_bert_lc_al_   |
|----+-------------+--------------------+-----------------|
|  0 |          60 | 64                 | 64              |
|  1 |          61 | 64                 | 64              |
|  2 |          62 | 64                 | 64              |
|  3 |          63 | 64                 | 64              |
|  4 |          64 | 64                 | 64              |
|  5 |          65 | 116                | 128             |
|  6 |          66 | 116                | 128             |
|  7 |          67 | 116                | 128             |
|  8 |          68 | 116                | 128             |
|  9 |          69 | 116                | 128             |
| 10 |          70 | 116                | 128             |
| 11 |          71 | 116                | 128             |
| 12 |          72 | 116                | 128             |
| 13 |          73 | 116                | 128             |
| 14 |          74 | 116                | 128             |
| 15 |          75 | 116                | 128             |
| 16 |          76 | 116                | 128             |
| 17 |          77 | 116                | 128             |
| 18 |          78 | 116                | 128             |
| 19 |          79 | 116                | 128             |
| 20 |          80 | 116                | 128             |
| 21 |          81 | 116                | 128             |
| 22 |          82 | 192                | 192             |
| 23 |          83 | 192                | 192             |
| 24 |          84 | 192                | 192             |
| 25 |          85 | 192                | 192             |
| 26 |          86 | 192                | 256             |
| 27 |          87 | 232                | 256             |
| 28 |          88 | 232                | 256             |
| 29 |          89 | 232                | 256             |
| 30 |          90 | 320                | 256             |
| 31 |          91 | 320                | 256             |
| 32 |          92 | 320                | 256             |
| 33 |          93 | 320                | 256             |
| 34 |          94 | 320                | 256             |
| 35 |          95 | 320                | 256             |
| 36 |          96 | 320                | 320             |
| 37 |          97 | -                  | 512             |
| 38 |          98 | -                  | -               |
| 39 |          99 | -                  | -               |
+----+-------------+--------------------+-----------------+
