+----+-------------+--------------------+------------------------------+------------------+-------------------+-----------------+---------------------------+---------------+----------------+
|    |   0_F1(%)>= | 1_bert_lc_sslal_   | 1_nb-multinomial_lc_sslal_   | 1_rf_lc_sslal_   | 1_svm_lc_sslal_   | 2_bert_lc_al_   | 2_nb-multinomial_lc_al_   | 2_rf_lc_al_   | 2_svm_lc_al_   |
|----+-------------+--------------------+------------------------------+------------------+-------------------+-----------------+---------------------------+---------------+----------------|
|  0 |          60 | 64                 | 64                           | 64               | 64                | 64              | 64                        | 64            | 64             |
|  1 |          61 | 64                 | 64                           | 64               | 64                | 64              | 64                        | 64            | 64             |
|  2 |          62 | 64                 | 64                           | 64               | 64                | 64              | 64                        | 64            | 64             |
|  3 |          63 | 64                 | 64                           | 64               | 64                | 64              | 64                        | 64            | 64             |
|  4 |          64 | 64                 | 64                           | 64               | 64                | 64              | 64                        | 64            | 64             |
|  5 |          65 | 116                | 64                           | 64               | 64                | 128             | 64                        | 64            | 64             |
|  6 |          66 | 116                | 64                           | 64               | 64                | 128             | 64                        | 64            | 64             |
|  7 |          67 | 116                | 64                           | 64               | 64                | 128             | 64                        | 64            | 64             |
|  8 |          68 | 116                | 64                           | 64               | 64                | 128             | 64                        | 64            | 64             |
|  9 |          69 | 116                | 64                           | 64               | 64                | 128             | 64                        | 64            | 64             |
| 10 |          70 | 116                | 64                           | 64               | 64                | 128             | 64                        | 64            | 64             |
| 11 |          71 | 116                | 64                           | 64               | 64                | 128             | 64                        | 64            | 64             |
| 12 |          72 | 116                | 64                           | 64               | 64                | 128             | 64                        | 64            | 64             |
| 13 |          73 | 116                | 64                           | 64               | 64                | 128             | 64                        | 64            | 64             |
| 14 |          74 | 116                | 64                           | 64               | 64                | 128             | 64                        | 64            | 64             |
| 15 |          75 | 116                | 64                           | 64               | 64                | 128             | 64                        | 64            | 64             |
| 16 |          76 | 116                | 64                           | 64               | 64                | 128             | 64                        | 64            | 64             |
| 17 |          77 | 116                | 64                           | 64               | 64                | 128             | 64                        | 64            | 64             |
| 18 |          78 | 116                | 64                           | 64               | 64                | 128             | 64                        | 64            | 64             |
| 19 |          79 | 116                | 64                           | 64               | 64                | 128             | 64                        | 64            | 64             |
| 20 |          80 | 116                | 118                          | 64               | 64                | 128             | 128                       | 64            | 64             |
| 21 |          81 | 116                | 118                          | 64               | 64                | 128             | 128                       | 64            | 64             |
| 22 |          82 | 192                | 118                          | 64               | 64                | 192             | 128                       | 64            | 64             |
| 23 |          83 | 192                | 118                          | 64               | 64                | 192             | 128                       | 64            | 64             |
| 24 |          84 | 192                | 118                          | 64               | 64                | 192             | 128                       | 64            | 64             |
| 25 |          85 | 192                | 192                          | 64               | 64                | 192             | 192                       | 64            | 64             |
| 26 |          86 | 192                | 192                          | 64               | 64                | 256             | 192                       | 64            | 64             |
| 27 |          87 | 232                | 234                          | 64               | 64                | 256             | 192                       | 64            | 64             |
| 28 |          88 | 232                | 234                          | 192              | 64                | 256             | 256                       | 128           | 64             |
| 29 |          89 | 232                | 320                          | 192              | 64                | 256             | 256                       | 192           | 64             |
| 30 |          90 | 320                | 320                          | 192              | 64                | 256             | 256                       | 192           | 64             |
| 31 |          91 | 320                | 320                          | 192              | 116               | 256             | 320                       | 192           | 128            |
| 32 |          92 | 320                | -                            | 192              | 116               | 256             | -                         | 192           | 128            |
| 33 |          93 | 320                | -                            | 235              | 116               | 256             | -                         | 256           | 128            |
| 34 |          94 | 320                | -                            | 235              | 116               | 256             | -                         | 256           | 128            |
| 35 |          95 | 320                | -                            | 579              | 192               | 256             | -                         | 512           | 192            |
| 36 |          96 | 320                | -                            | -                | 192               | 320             | -                         | -             | 256            |
| 37 |          97 | -                  | -                            | -                | -                 | 512             | -                         | -             | -              |
| 38 |          98 | -                  | -                            | -                | -                 | -               | -                         | -             | -              |
| 39 |          99 | -                  | -                            | -                | -                 | -               | -                         | -             | -              |
+----+-------------+--------------------+------------------------------+------------------+-------------------+-----------------+---------------------------+---------------+----------------+
