+----+-------------+--------------------+-----------------+
|    |   0_F1(%)>= | 1_bert_lc_sslal_   | 2_bert_lc_al_   |
|----+-------------+--------------------+-----------------|
|  0 |          60 | 128                | 128             |
|  1 |          61 | 128                | 128             |
|  2 |          62 | 128                | 128             |
|  3 |          63 | 128                | 128             |
|  4 |          64 | 128                | 128             |
|  5 |          65 | 128                | 128             |
|  6 |          66 | 128                | 128             |
|  7 |          67 | 128                | 128             |
|  8 |          68 | 192                | 192             |
|  9 |          69 | 192                | 192             |
| 10 |          70 | 192                | 192             |
| 11 |          71 | 192                | 192             |
| 12 |          72 | 192                | 192             |
| 13 |          73 | 251                | 256             |
| 14 |          74 | 251                | 256             |
| 15 |          75 | 251                | 256             |
| 16 |          76 | 251                | 256             |
| 17 |          77 | 251                | 256             |
| 18 |          78 | 251                | 256             |
| 19 |          79 | 251                | 256             |
| 20 |          80 | 374                | 256             |
| 21 |          81 | 374                | 320             |
| 22 |          82 | 374                | 320             |
| 23 |          83 | 374                | 320             |
| 24 |          84 | 374                | 384             |
| 25 |          85 | 374                | 384             |
| 26 |          86 | 374                | 384             |
| 27 |          87 | 374                | 448             |
| 28 |          88 | 374                | 448             |
| 29 |          89 | 374                | 448             |
| 30 |          90 | 374                | 448             |
| 31 |          91 | 374                | 448             |
| 32 |          92 | 460                | 448             |
| 33 |          93 | 695                | 640             |
| 34 |          94 | -                  | -               |
| 35 |          95 | -                  | -               |
| 36 |          96 | -                  | -               |
| 37 |          97 | -                  | -               |
| 38 |          98 | -                  | -               |
| 39 |          99 | -                  | -               |
+----+-------------+--------------------+-----------------+
