+----+-------------+--------------------+-----------------+
|    |   0_F1(%)>= | 1_bert_lc_sslal_   | 2_bert_lc_al_   |
|----+-------------+--------------------+-----------------|
|  0 |          60 | 128                | 128             |
|  1 |          61 | 128                | 128             |
|  2 |          62 | 128                | 128             |
|  3 |          63 | 128                | 128             |
|  4 |          64 | 128                | 128             |
|  5 |          65 | 192                | 192             |
|  6 |          66 | 192                | 192             |
|  7 |          67 | 192                | 192             |
|  8 |          68 | 192                | 192             |
|  9 |          69 | 192                | 192             |
| 10 |          70 | 192                | 192             |
| 11 |          71 | 192                | 192             |
| 12 |          72 | 192                | 192             |
| 13 |          73 | 192                | 192             |
| 14 |          74 | 192                | 192             |
| 15 |          75 | 192                | 192             |
| 16 |          76 | 192                | 192             |
| 17 |          77 | 192                | 192             |
| 18 |          78 | 192                | 192             |
| 19 |          79 | 245                | 256             |
| 20 |          80 | 245                | 256             |
| 21 |          81 | 245                | 320             |
| 22 |          82 | 245                | 320             |
| 23 |          83 | 364                | 320             |
| 24 |          84 | 364                | 320             |
| 25 |          85 | 364                | 384             |
| 26 |          86 | 364                | 384             |
| 27 |          87 | 364                | 384             |
| 28 |          88 | 448                | 384             |
| 29 |          89 | 448                | 512             |
| 30 |          90 | -                  | -               |
| 31 |          91 | -                  | -               |
| 32 |          92 | -                  | -               |
| 33 |          93 | -                  | -               |
| 34 |          94 | -                  | -               |
| 35 |          95 | -                  | -               |
| 36 |          96 | -                  | -               |
| 37 |          97 | -                  | -               |
| 38 |          98 | -                  | -               |
| 39 |          99 | -                  | -               |
+----+-------------+--------------------+-----------------+
