+----+-------------+--------------------+-----------------+
|    |   0_F1(%)>= | 1_bert_lc_sslal_   | 2_bert_lc_al_   |
|----+-------------+--------------------+-----------------|
|  0 |          60 | 128                | 128             |
|  1 |          61 | 128                | 128             |
|  2 |          62 | 128                | 128             |
|  3 |          63 | 128                | 128             |
|  4 |          64 | 128                | 128             |
|  5 |          65 | 128                | 128             |
|  6 |          66 | 192                | 192             |
|  7 |          67 | 192                | 192             |
|  8 |          68 | 192                | 192             |
|  9 |          69 | 192                | 192             |
| 10 |          70 | 192                | 192             |
| 11 |          71 | 192                | 192             |
| 12 |          72 | 255                | 256             |
| 13 |          73 | 255                | 256             |
| 14 |          74 | 255                | 256             |
| 15 |          75 | 255                | 256             |
| 16 |          76 | 255                | 256             |
| 17 |          77 | 255                | 320             |
| 18 |          78 | 320                | 320             |
| 19 |          79 | 320                | 320             |
| 20 |          80 | 320                | 320             |
| 21 |          81 | 320                | 320             |
| 22 |          82 | 320                | 320             |
| 23 |          83 | 320                | 320             |
| 24 |          84 | 320                | 320             |
| 25 |          85 | 448                | 320             |
| 26 |          86 | 576                | 576             |
| 27 |          87 | 576                | 576             |
| 28 |          88 | 704                | 640             |
| 29 |          89 | -                  | -               |
| 30 |          90 | -                  | -               |
| 31 |          91 | -                  | -               |
| 32 |          92 | -                  | -               |
| 33 |          93 | -                  | -               |
| 34 |          94 | -                  | -               |
| 35 |          95 | -                  | -               |
| 36 |          96 | -                  | -               |
| 37 |          97 | -                  | -               |
| 38 |          98 | -                  | -               |
| 39 |          99 | -                  | -               |
+----+-------------+--------------------+-----------------+
