+----+-------------+--------------------+-----------------+
|    |   0_F1(%)>= | 1_bert_lc_sslal_   | 2_bert_lc_al_   |
|----+-------------+--------------------+-----------------|
|  0 |          60 | 128                | 128             |
|  1 |          61 | 128                | 128             |
|  2 |          62 | 128                | 128             |
|  3 |          63 | 192                | 192             |
|  4 |          64 | 192                | 192             |
|  5 |          65 | 192                | 192             |
|  6 |          66 | 192                | 192             |
|  7 |          67 | 192                | 192             |
|  8 |          68 | 192                | 192             |
|  9 |          69 | 192                | 192             |
| 10 |          70 | 192                | 192             |
| 11 |          71 | 192                | 192             |
| 12 |          72 | 192                | 192             |
| 13 |          73 | 192                | 192             |
| 14 |          74 | 192                | 192             |
| 15 |          75 | 192                | 192             |
| 16 |          76 | 192                | 192             |
| 17 |          77 | 251                | 256             |
| 18 |          78 | 251                | 256             |
| 19 |          79 | 251                | 256             |
| 20 |          80 | 251                | 256             |
| 21 |          81 | 251                | 256             |
| 22 |          82 | 251                | 256             |
| 23 |          83 | 358                | 384             |
| 24 |          84 | 358                | 384             |
| 25 |          85 | 358                | 384             |
| 26 |          86 | 461                | 512             |
| 27 |          87 | 576                | 576             |
| 28 |          88 | 704                | -               |
| 29 |          89 | -                  | -               |
| 30 |          90 | -                  | -               |
| 31 |          91 | -                  | -               |
| 32 |          92 | -                  | -               |
| 33 |          93 | -                  | -               |
| 34 |          94 | -                  | -               |
| 35 |          95 | -                  | -               |
| 36 |          96 | -                  | -               |
| 37 |          97 | -                  | -               |
| 38 |          98 | -                  | -               |
| 39 |          99 | -                  | -               |
+----+-------------+--------------------+-----------------+
